ImageId,ModelName,Success
00000001_000,xrv_chexnet,0
00000001_001,xrv_chexnet,0
00000001_002,xrv_chexnet,1
00000005_007,xrv_chexnet,1
00000008_000,xrv_chexnet,0
00000011_000,xrv_chexnet,1
00000011_006,xrv_chexnet,1
00000012_000,xrv_chexnet,1
00000013_004,xrv_chexnet,1
00000013_006,xrv_chexnet,1
00000013_010,xrv_chexnet,1
00000013_018,xrv_chexnet,1
00000013_021,xrv_chexnet,1
00000013_025,xrv_chexnet,0
00000013_026,xrv_chexnet,0
00000013_027,xrv_chexnet,1
00000013_028,xrv_chexnet,1
00000013_029,xrv_chexnet,1
00000013_030,xrv_chexnet,1
00000013_035,xrv_chexnet,1
00000013_037,xrv_chexnet,0
00000013_040,xrv_chexnet,0
00000013_044,xrv_chexnet,0
00000013_045,xrv_chexnet,0
00000017_000,xrv_chexnet,1
00000019_000,xrv_chexnet,1
00000023_002,xrv_chexnet,1
00000025_000,xrv_chexnet,1
00000030_000,xrv_chexnet,1
00000030_001,xrv_chexnet,1
00000032_000,xrv_chexnet,0
00000032_001,xrv_chexnet,1
00000032_004,xrv_chexnet,1
00000032_006,xrv_chexnet,1
00000032_007,xrv_chexnet,1
00000032_012,xrv_chexnet,1
00000032_021,xrv_chexnet,0
00000032_027,xrv_chexnet,0
00000032_028,xrv_chexnet,0
00000032_029,xrv_chexnet,0
00000032_030,xrv_chexnet,0
00000032_031,xrv_chexnet,0
00000032_032,xrv_chexnet,1
00000032_034,xrv_chexnet,1
00000032_035,xrv_chexnet,1
00000032_036,xrv_chexnet,1
00000032_037,xrv_chexnet,0
00000032_040,xrv_chexnet,0
00000032_041,xrv_chexnet,1
00000032_044,xrv_chexnet,0
00000032_045,xrv_chexnet,1
00000032_050,xrv_chexnet,1
00000032_052,xrv_chexnet,1
00000032_053,xrv_chexnet,0
00000032_054,xrv_chexnet,1
00000032_055,xrv_chexnet,0
00000032_056,xrv_chexnet,0
00000032_057,xrv_chexnet,1
00000032_058,xrv_chexnet,1
